id,name,category,region,description,description_es,address,city,phone,email,website,notes,notes_es
31,"Transitions, Inc. — Covington",Housing,Northern Kentucky,"Northern Kentucky substance use treatment and recovery organization founded in 1969. Residential and outpatient programs, detox, and transitional housing. Multiple Covington locations.","Organización de tratamiento de recuperación y uso de sustancias del norte de Kentucky fundada en 1969. Programas residenciales y ambulatorios, desintoxicación y vivienda transitoria. Múltiples ubicaciones en Covington.",535 West Pike Street,Covington,(859) 491-4435,,https://transitionsky.org,,
32,"Transitions, Inc. — Grateful Life Center",Housing,Northern Kentucky,Long-term residential recovery program for men. Recovery Kentucky affiliate. 110-bed therapeutic community emphasizing peer support and accountability. Kentucky DOC-affiliated reentry resource.,Programa de recuperación residencial a largo plazo para hombres. Afiliado a Recovery Kentucky. Comunidad terapéutica de 110 camas que hace hincapié en el apoyo entre pares y la responsabilidad. Recurso de reinserción afiliado al DOC de Kentucky.,305 Pleasure Isle Drive,Erlanger,(859) 359-4500,,https://transitionsky.org/facilities/grateful-life-center,,
40,Men's Addiction Recovery Center (MARC),Housing,Bowling Green / Warren County,Free inpatient substance abuse recovery program for adult men. Recovery Kentucky affiliate. No cost to clients.,Programa gratuito de recuperación de adicciones para pacientes internados adultos masculinos. Afiliado a Recovery Kentucky. Sin costo para los clientes.,1791 River Street,Bowling Green,(270) 715-0810,,https://marcrecovery.com,,
41,Haven4Change,Housing,Bowling Green / Warren County,Transitional housing and support services for individuals in recovery or reentry in Warren County and the greater Bowling Green area.,Vivienda transitoria y servicios de apoyo para personas en recuperación o reinserción en el Condado de Warren y el área metropolitana de Bowling Green.,1500 Parkside Drive,Bowling Green,(270) 796-1764,,,,
50,Bluegrass Career Development Center,Housing,Richmond / Madison County,"Kentucky DOC-contracted Reentry Service Center providing housing, career development training, and comprehensive programming for individuals leaving incarceration in Central Kentucky.","Centro de Servicios de Reinserción contratado por el DOC de Kentucky que proporciona vivienda, capacitación para el desarrollo profesional y programación integral para personas que salen del encarcelamiento en el centro de Kentucky.",549 Recycle Drive,Richmond,(859) 626-9120,,,,
51,Liberty Place Recovery Center for Women,Housing,Richmond / Madison County,"Free 108-bed residential recovery center for women. Recovery Kentucky affiliate. Long-term substance abuse recovery programming at no cost, serving Central and Eastern Kentucky.","Centro de recuperación residencial gratuito de 108 camas para mujeres. Afiliado a Recovery Kentucky. Programación de recuperación de abuso de sustancias a largo plazo sin costo, que atiende al centro y al este de Kentucky.",218 Lake Street,Richmond,(859) 625-0104,,https://foothillscap.org/programs/liberty-place,,
60,Dismas Charities — Owensboro,Housing,Owensboro / Daviess County,"Kentucky DOC-contracted Reentry Service Center. Residential reentry housing, structured programming, and supervision support for men and women in Western Kentucky.","Centro de Servicios de Reinserción contratado por el DOC de Kentucky. Vivienda residencial de reinserción, programación estructurada y apoyo de supervisión para hombres y mujeres en el oeste de Kentucky.",615 Carlton Drive,Owensboro,(270) 685-6054,,https://dismas.com,,
70,WestCare — Lookout (Elkhorn City),Housing,Eastern Kentucky,Kentucky DOC-contracted Reentry Service Center providing substance use treatment and residential housing in Eastern Kentucky.,Centro de Servicios de Reinserción contratado por el DOC de Kentucky que proporciona tratamiento de uso de sustancias y vivienda residencial en el este de Kentucky.,5971 Poor Bottom Road,Elkhorn City,(606) 772-3012,,,,
71,Keeton Corrections — Paducah,Housing,Paducah / Western Kentucky,Kentucky DOC-contracted Reentry Service Center providing residential transitional housing and programming in Western Kentucky.,Centro de Servicios de Reinserción contratado por el DOC de Kentucky que proporciona vivienda transitoria residencial y programación en el oeste de Kentucky.,621 South Clarence Gains Street,Paducah,(270) 442-6251,,,,
80,Oxford House Kentucky — Recovery Housing,Housing,Statewide,"Statewide network of self-supported Oxford Houses providing sober living for people in recovery, including those leaving incarceration. Reentry coordinator assists with placement in available houses.","Red estatal de Oxford Houses autofinanciadas que ofrecen vida sobria para personas en recuperación, incluidas las que salen del encarcelamiento. El coordinador de reinserción ayuda con la colocación en casas disponibles.",,,(502) 830-8082,reentryky@oxfordhouse.us,https://oxfordhouseky.org,,
100,Goodwill Industries of Kentucky — RISE Program,Employment,Statewide,"Major second-chance employer running the RISE (Reintegrating Individuals Successfully Every Day) job-readiness training program. Covers soft skills, financial literacy, digital literacy, resume development, and mock interviewing. Also runs Aspire for individuals post-incarceration. Serves 103 of 120 Kentucky counties.","Importante empleador de segunda oportunidad que dirige el programa de capacitación RISE (Reintegrando Individuos Exitosamente Cada Día). Cubre habilidades blandas, educación financiera, alfabetización digital, desarrollo de currículum y entrevistas simuladas. También ofrece Aspire para personas post-encarcelamiento. Atiende 103 de los 120 condados de Kentucky.",2820 West Broadway,Louisville,(502) 585-5221,,https://goodwillky.org,"RISE program locations in Louisville, Lexington, Bowling Green, and Pikeville",
101,Goodwill Kentucky — Free Expungement Services,Employment,Statewide,"Free expungement clinics held across Kentucky throughout the year. Attorney review of criminal record, determination of eligibility, and filing fees paid by Goodwill. Over 8,500 records expunged to date.","Clínicas gratuitas de eliminación de antecedentes penales realizadas en todo Kentucky durante el año. Revisión del historial criminal por un abogado, determinación de elegibilidad y honorarios de presentación pagados por Goodwill. Más de 8,500 registros eliminados hasta la fecha.",,,(502) 585-5221,Cody.Avery@goodwillky.org,https://goodwillky.org/expungements,,
102,Kentucky Career Center — Louisville,Employment,Louisville / Jefferson County,"American Job Center providing free job search assistance, resume help, career counseling, and training referrals. Part of the KentuckianaWorks workforce development network.","Centro de Trabajo Americano que proporciona asistencia gratuita para búsqueda de empleo, ayuda con currículum, orientación profesional y referencias para capacitación. Parte de la red de desarrollo de la fuerza laboral de KentuckianaWorks.",600 West Cedar Street,Louisville,(502) 595-4003,,https://kentuckianaworks.org/kcclou,,
103,Kentucky Career Center — Lexington (Bluegrass),Employment,Lexington / Fayette County,"American Job Center serving Fayette and surrounding counties. Free services include job search, resume workshops, career assessment, veterans services, and referrals to training programs.","Centro de Trabajo Americano que atiende a Fayette y los condados circundantes. Los servicios gratuitos incluyen búsqueda de empleo, talleres de currículum, evaluación profesional, servicios para veteranos y referencias a programas de capacitación.","2473 Fortune Drive, Suite 180",Lexington,(859) 267-2223,,https://ckycareers.com,,
104,Kentucky Career Center — Northern Kentucky,Employment,Northern Kentucky,"American Job Center for Northern Kentucky. Career coaching, job readiness workshops, resume services, and training funding. Partners with Gateway Community College, Goodwill, and TANK transit.","Centro de Trabajo Americano para el norte de Kentucky. Orientación profesional, talleres de preparación laboral, servicios de currículum y financiamiento para capacitación. Asociado con Gateway Community College, Goodwill y el transporte TANK.",1324 Madison Avenue,Covington,(859) 292-6666,,https://nkcareercenter.org,,
105,Kentucky Career Center — Bowling Green,Employment,Bowling Green / Warren County,"American Job Center in Warren County providing free job search, resume assistance, employment workshops, and referrals to training programs.","Centro de Trabajo Americano en el Condado de Warren que proporciona búsqueda de empleo gratuita, asistencia con currículum, talleres de empleo y referencias a programas de capacitación.",803 Chestnut Street,Bowling Green,(270) 746-7425,,,,
106,Kentucky Career Center — TENCO (Ashland),Employment,Ashland / Boyd County,"American Job Center serving northeastern Kentucky including Boyd, Greenup, Carter, and surrounding counties. Free job seeker services.","Centro de Trabajo Americano que atiende al noreste de Kentucky, incluidos los condados de Boyd, Greenup, Carter y los circundantes. Servicios gratuitos para buscadores de empleo.",1844 Carter Avenue,Ashland,(606) 920-2024,,https://tencocareercenter.com,,
107,Eastern Kentucky CEP (EKCEP) — SITE Program,Employment,Eastern Kentucky,"Workforce development organization for 23 Appalachian Kentucky counties. The SITE (Strategic Initiative for Transformational Employment) program bridges addiction recovery and workforce participation. Recovery-informed job services, barrier relief, and career advising.","Organización de desarrollo de la fuerza laboral para 23 condados del Kentucky Apalache. El programa SITE conecta la recuperación de adicciones con la participación laboral. Servicios de empleo informados en recuperación, alivio de barreras y asesoramiento profesional.","100 Airport Gardens Road, Suite 300",Hazard,(606) 436-5751,ekcep@ekcep.org,https://ekcep.org,,
108,Kentucky Dept of Professional Licensing — Occupational Licensing,Employment,Statewide,Kentucky's HB 185 (2022) allows anyone with a conviction to petition a licensing board before investing in training to find out if their record would be disqualifying. Boards can only deny based on convictions 'directly related' to the licensed occupation. Contact DPL to be routed to the correct board.,El proyecto de ley HB 185 de Kentucky (2022) permite que cualquier persona con una condena solicite a una junta de licencias antes de invertir en capacitación para saber si su historial sería descalificante. Las juntas solo pueden negar en base a condenas directamente relacionadas con la ocupación con licencia. Comuníquese con el DPL para que lo dirijan a la junta correcta.,500 Mero Street,Frankfort,(502) 564-3296,,https://dpl.ky.gov,,
109,Institute for Justice — Kentucky Licensing,Employment,Statewide,National nonprofit law firm that led advocacy for Kentucky's occupational licensing reforms. Can provide guidance or referrals if you are denied a professional license due to a prior conviction.,Firma de abogados sin fines de lucro que lideró la defensa de las reformas de licencias ocupacionales de Kentucky. Puede proporcionar orientación o referencias si se le niega una licencia profesional debido a una condena anterior.,,,,,https://ij.org/issues/economic-liberty/occupational-licensing/kentucky/,,
120,kynect — Medicaid & Benefits Enrollment,Healthcare,Statewide,"State online portal to apply for Medicaid (Kentucky Health Plan), SNAP, KTAP, childcare assistance, and other benefits. People leaving incarceration can enroll for Medicaid immediately upon release. Apply online, by phone, or at any DCBS office.","Portal estatal en línea para solicitar Medicaid, SNAP, KTAP, asistencia para el cuidado de niños y otros beneficios. Las personas que salen del encarcelamiento pueden inscribirse en Medicaid inmediatamente al salir. Solicite en línea, por teléfono o en cualquier oficina del DCBS.",,,1-855-306-8959,,https://kynect.ky.gov,,
121,Seven Counties Services — Louisville,Healthcare,Louisville / Jefferson County,"Community Mental Health Center serving Jefferson and surrounding counties. Full continuum of care: mental health, substance abuse, developmental disabilities, and detox to recovery housing. 24/7 crisis line.","Centro Comunitario de Salud Mental que atiende a Jefferson y los condados circundantes. Continuo completo de atención: salud mental, abuso de sustancias, discapacidades del desarrollo y desintoxicación hasta vivienda de recuperación. Línea de crisis disponible las 24 horas.",101 West Muhammad Ali Blvd.,Louisville,(502) 589-8915,,https://sevencounties.org,24/7 Crisis Line: (502) 589-4313,
122,Centerstone — Louisville,Healthcare,Louisville / Jefferson County,"Behavioral health organization offering mental health care, substance use treatment, and family support. Multiple Louisville locations. 24/7 crisis line available.","Organización de salud conductual que ofrece atención de salud mental, tratamiento de uso de sustancias y apoyo familiar. Múltiples ubicaciones en Louisville. Línea de crisis disponible las 24 horas.",708 Magazine Street,Louisville,(502) 287-0642,,https://centerstoneky.org,24/7 line: (855) 802-1592,
123,New Vista Behavioral Health — Lexington,Healthcare,Lexington / Fayette County,"Community Mental Health Center serving 17 Central Kentucky counties. Mental health, substance use, IDD, and primary care services. Same-day Behavioral Health Urgent Care available. 24/7 crisis line.","Centro Comunitario de Salud Mental que atiende a 17 condados del centro de Kentucky. Servicios de salud mental, uso de sustancias, discapacidades del desarrollo y atención primaria. Atención Urgente de Salud Conductual disponible el mismo día. Línea de crisis las 24 horas.","1351 Newtown Pike, Building 1",Lexington,(859) 253-1686,,https://newvista.org,24/7 Crisis Line: 1-800-928-8000,
124,North Key Community Care — Covington,Healthcare,Northern Kentucky,"Community Mental Health Center serving Northern Kentucky. Mental health, substance use, and developmental disability services. 24/7 crisis line.","Centro Comunitario de Salud Mental que atiende al norte de Kentucky. Servicios de salud mental, uso de sustancias y discapacidades del desarrollo. Línea de crisis disponible las 24 horas.",503 Farrell Drive,Covington,(859) 781-5586,,,24/7 Crisis Line: (859) 331-3292,
125,988 Suicide & Crisis Lifeline,Healthcare,Statewide,"Call or text 988 to reach the National Suicide & Crisis Lifeline. Free, confidential mental health crisis support available 24/7. Spanish-speaking counselors available.",Llame o envíe un mensaje de texto al 988 para comunicarse con la Línea Nacional de Prevención del Suicidio y Crisis. Apoyo gratuito y confidencial para crisis de salud mental disponible las 24 horas. Consejeros de habla hispana disponibles.,,,988,,https://988lifeline.org,,
126,University of Louisville 550 HIV Clinic / Ryan White Program,Healthcare,Louisville / Jefferson County,"Federally funded outpatient HIV medical clinic. Ryan White case managers help with care coordination, housing support, and wraparound services for low-income uninsured/underinsured clients. Covers a 7-county Greater Louisville region. Telehealth services connect to jails via Kentucky TeleHealth Network.","Clínica médica ambulatoria de VIH con fondos federales. Los gestores de casos de Ryan White ayudan con la coordinación de atención, apoyo en vivienda y servicios integrales para clientes de bajos ingresos sin seguro. Cubre una región de 7 condados del Gran Louisville. Los servicios de telesalud conectan con cárceles.","550 South Jackson Street, 2nd Floor",Louisville,(502) 561-8844,,https://louisville.edu/ryanwhite550,,
127,Volunteers of America — HIV Services (Louisville),Healthcare,Louisville / Jefferson County,"Free, confidential HIV testing and education; syringe exchange; HOPWA (Housing Opportunities for Persons with AIDS) rental and housing assistance; S.T.O.P. outreach and prevention program.",Pruebas de VIH gratuitas y confidenciales y educación; intercambio de jeringas; asistencia de alquiler y vivienda HOPWA (Oportunidades de Vivienda para Personas con SIDA); programa de extensión y prevención S.T.O.P.,"570 South Fourth Street, Suite 100",Louisville,(502) 636-0771,,https://voamid.org,HIV Testing: (502) 635-4506 | HOPWA Housing: (502) 635-4511,
128,AVOL Kentucky — Lexington,Healthcare,Lexington / Fayette County,"Statewide HIV/AIDS organization. Free, private HIV and STI testing; care coordination; housing assistance for people living with HIV; prevention education and outreach; on-site PrEP medical services.",Organización estatal de VIH/SIDA. Pruebas privadas y gratuitas de VIH e ITS; coordinación de atención; asistencia de vivienda para personas que viven con VIH; educación de prevención y extensión; servicios médicos de PrEP en el sitio.,"225 Walton Avenue, Suite 110",Lexington,(859) 225-3000,,https://avolky.org,Toll-free: 877-225-9245,
129,Louisville Metro Public Health — Free HIV Testing,Healthcare,Louisville / Jefferson County,Free HIV testing Monday–Friday at Louisville Metro's Specialty Clinic. STI testing also available.,Pruebas gratuitas de VIH de lunes a viernes en la Clínica Especializada de Louisville Metro. Pruebas de ITS también disponibles.,,Louisville,(502) 574-5600,,https://louisvilleky.gov/government/health-wellness/services/hiv-testing,,
140,The Healing Place — Men's Campus,Substance Use Treatment,Louisville / Jefferson County,"Free residential addiction recovery program for men. One of Louisville's largest recovery programs. No charge for services. Provides detox, residential treatment, and aftercare programming.","Programa gratuito de recuperación de adicciones residencial para hombres. Uno de los programas de recuperación más grandes de Louisville. Sin cargo por los servicios. Proporciona desintoxicación, tratamiento residencial y programación posterior al tratamiento.",1020 West Market Street,Louisville,(502) 585-4848,,https://thehealingplace.org,,
141,The Healing Place — Women's Campus,Substance Use Treatment,Louisville / Jefferson County,"Free residential addiction recovery program for women. Kentucky DOC-contracted Reentry Service Center. No charge for services. Detox, residential treatment, and aftercare.","Programa gratuito de recuperación de adicciones residencial para mujeres. Centro de Servicios de Reinserción contratado por el DOC de Kentucky. Sin cargo por los servicios. Desintoxicación, tratamiento residencial y seguimiento posterior.",1503 South 15th Street,Louisville,(502) 568-1268,,https://thehealingplace.org,,
142,Stepworks Recovery Centers,Substance Use Treatment,Statewide,"Multi-location substance use treatment network across Kentucky including Louisville and Elizabethtown. Offers detox, residential, and outpatient services. Accepts most insurance including Medicaid.","Red de centros de tratamiento de uso de sustancias en múltiples ubicaciones en todo Kentucky, incluidos Louisville y Elizabethtown. Ofrece servicios de desintoxicación, residencial y ambulatorio. Acepta la mayoría de los seguros, incluido Medicaid.",,,,,https://stepworks.com,,
143,SAMHSA Treatment Locator,Substance Use Treatment,Statewide,"Federal tool to find substance use treatment facilities anywhere in Kentucky by zip code. Filters by type of care, payment accepted (Medicaid, sliding scale, free), and more. SAMHSA National Helpline is free, confidential, and available 24/7.","Herramienta federal para encontrar instalaciones de tratamiento de uso de sustancias en cualquier lugar de Kentucky por código postal. Filtros por tipo de atención, pago aceptado (Medicaid, escala móvil, gratuito) y más. La Línea de Ayuda Nacional de SAMHSA es gratuita, confidencial y disponible las 24 horas.",,,1-800-662-4357,,https://findtreatment.gov,,
160,Legal Aid Society — Louisville,Legal Aid,Louisville / Jefferson County,"Free civil legal help for low-income individuals in 15 Kentucky counties. Handles housing, family, benefits, safety, and health matters. Hosts expungement clinics in partnership with Goodwill Kentucky.","Ayuda legal civil gratuita para personas de bajos ingresos en 15 condados de Kentucky. Maneja asuntos de vivienda, familia, beneficios, seguridad y salud. Organiza clínicas de eliminación de antecedentes penales en asociación con Goodwill Kentucky.","416 West Muhammad Ali Blvd., Suite 300",Louisville,(502) 584-1254,,https://yourlegalaid.org,Toll-free: (800) 292-1862 | Expungement: (502) 614-3101,
161,Legal Aid of the Bluegrass — Lexington,Legal Aid,Lexington / Fayette County,Free civil legal services for low-income individuals in 32 Central and Northern Kentucky counties. Expungement representation when a record is a barrier to employment or housing. Partners with Goodwill Kentucky expungement clinics.,Servicios legales civiles gratuitos para personas de bajos ingresos en 32 condados del centro y norte de Kentucky. Representación para la eliminación de antecedentes penales cuando el historial es una barrera para el empleo o la vivienda. Asociado con las clínicas de eliminación de antecedentes penales de Goodwill Kentucky.,"300 East Main Street, Suite 210",Lexington,(859) 431-8200,legalaid@lablaw.org,https://lablaw.org,"Also offices in Covington, Ashland, and Morehead",
162,Kentucky Legal Aid — Bowling Green,Legal Aid,Bowling Green / Warren County,"Free civil legal services for low-income individuals in western and south-central Kentucky. Housing, benefits, family, and civil matters. Expungement assistance available.","Servicios legales civiles gratuitos para personas de bajos ingresos en el oeste y centro-sur de Kentucky. Asuntos de vivienda, beneficios, familia y civiles. Asistencia para la eliminación de antecedentes penales disponible.",1700 Destiny Lane,Bowling Green,(270) 782-1924,,https://klaid.org,Intake: (877) 782-4219,
163,Kentucky Legal Aid — Owensboro,Legal Aid,Owensboro / Daviess County,Free civil legal services for low-income individuals in Western Kentucky.,Servicios legales civiles gratuitos para personas de bajos ingresos en el oeste de Kentucky.,117 West Second Street,Owensboro,(270) 683-4585,,https://klaid.org,Toll-free: (800) 467-2260,
164,Kentucky Legal Aid — Paducah,Legal Aid,Paducah / Western Kentucky,Free civil legal services for low-income individuals in Western Kentucky.,Servicios legales civiles gratuitos para personas de bajos ingresos en el oeste de Kentucky.,216 Berger Road,Paducah,(270) 442-5518,,https://klaid.org,Toll-free: (800) 467-2218,
165,AppalReD Legal Aid — Eastern Kentucky,Legal Aid,Eastern Kentucky,"Free civil legal services for low-income people in 37 Appalachian counties in Eastern and South-Central Kentucky. Handles expungement, housing, benefits, and more.","Servicios legales civiles gratuitos para personas de bajos ingresos en 37 condados del Apalache en el este y centro-sur de Kentucky. Maneja la eliminación de antecedentes penales, vivienda, beneficios y más.",,,1-866-277-5733,,https://ardfky.org,"Covers Bell, Clay, Floyd, Harlan, Knox, Laurel, Letcher, Pike, Perry, and 28 other counties",
166,ACLU of Kentucky — Voting Rights Restoration (ROVR),Legal Aid,Statewide,Actively campaigns to register Kentuckians with past felony convictions and provides ROVR (Restoration of Voting Rights) resources. Governor Beshear's 2019 executive order automatically restored voting rights for non-violent felonies upon completion of full sentence including probation and parole.,"Hace campaña activamente para registrar a ciudadanos de Kentucky con condenas previas y proporciona recursos de ROVR (Restauración de Derechos de Voto). La orden ejecutiva de 2019 del Gobernador Beshear restauró automáticamente los derechos de voto para delitos graves no violentos al completar la sentencia completa, incluyendo la libertad condicional y la vigilada.","325 Main Street, Suite 2210",Louisville,(502) 581-9746,info@aclu-ky.org,https://aclu-ky.org/en/rovr,,
